TeD,TrD1,TrD2,TrD3,TrD4,TrD5,TrD6,TrD7,TrD8,model,score
TeD2,1,1,0,0,0,1,0,0,M3,0.576214535561601
TeD2,1,1,1,0,1,1,1,0,M3,0.603342401865527
TeD2,0,1,1,0,0,0,0,0,M3,0.582899339292655
TeD2,0,0,1,0,0,0,0,1,M3,0.578080062184221
TeD2,0,1,0,1,1,1,1,1,M3,0.61095996890789
TeD2,1,0,1,0,0,1,0,0,M3,0.57209483093665
TeD2,1,0,1,1,1,1,0,1,M3,0.592615623785464
TeD2,1,1,1,0,1,1,0,1,M3,0.603497862417412
TeD2,0,0,0,0,0,1,1,0,M3,0.581344733773805
TeD2,1,0,0,0,0,1,0,0,M3,0.56393315196269
TeD2,0,1,0,0,1,0,1,0,M3,0.59844539448115
TeD2,1,0,1,1,1,1,1,1,M3,0.582666148464827
TeD2,1,1,0,0,0,0,0,0,M3,0.535950252623397
TeD2,0,1,1,0,1,1,0,0,M3,0.600777302759425
TeD2,0,0,0,0,0,1,0,1,M3,0.576914108045084
TeD2,0,1,0,0,0,1,0,1,M3,0.584220753983677
TeD2,0,0,1,1,1,1,1,1,M3,0.593159735717062
TeD2,0,0,0,0,1,1,0,0,M3,0.58087835211815
TeD2,0,1,0,0,0,0,0,1,M3,0.58904003109211
TeD2,0,1,0,0,1,1,1,0,M3,0.589117761368053
TeD2,0,1,0,0,0,1,0,0,M3,0.572949863972017
TeD2,0,1,0,1,0,1,0,1,M3,0.597745821997668
TeD2,1,1,0,0,1,0,0,0,M3,0.585619898950641
TeD2,0,1,0,0,1,1,0,1,M3,0.592615623785464
TeD2,0,0,1,0,0,1,0,1,M3,0.600155460551885
TeD2,0,1,0,1,0,1,0,0,M3,0.578701904391761
TeD2,1,1,1,1,1,0,1,0,M3,0.597046249514186
TeD2,0,1,1,0,0,0,1,0,M3,0.589817333851535
TeD2,1,1,0,1,1,0,1,1,M3,0.610182666148465
TeD2,0,1,1,0,0,1,1,0,M3,0.587874076952973
TeD2,1,1,1,1,1,0,1,1,M3,0.598523124757093
TeD2,1,1,1,0,0,1,1,1,M3,0.593859308200544
TeD2,1,0,1,0,0,0,0,0,M3,0.554760979401477
TeD2,1,0,1,1,1,0,0,0,M3,0.586397201710066
TeD2,0,1,0,0,0,0,1,0,M3,0.579246016323358
TeD2,1,1,1,0,0,1,0,0,M3,0.575825884181889
TeD2,0,1,1,1,1,1,1,1,M3,0.59183832102604
TeD2,0,1,1,0,1,1,0,1,M3,0.602331908278274
TeD2,0,0,1,0,0,1,0,0,M3,0.563855421686747
TeD2,0,1,1,1,0,1,0,0,M3,0.591294209094442
TeD2,0,1,0,0,0,0,1,1,M3,0.582355227361057
TeD2,1,0,0,1,0,0,0,0,M3,0.532374659930043
TeD2,1,1,1,0,0,0,0,0,M3,0.564554994170229
TeD2,0,1,1,0,1,1,1,0,M3,0.587485425573261
TeD2,0,1,0,0,1,0,0,0,M3,0.588729109988341
TeD2,1,1,1,1,1,1,0,1,M3,0.606607073455111
TeD2,0,1,1,0,1,0,0,1,M3,0.588884570540225
TeD2,0,1,1,0,0,1,0,0,M3,0.583754372328022
TeD2,1,0,1,1,1,1,0,0,M3,0.589739603575593
TeD2,0,1,0,0,1,1,0,0,M3,0.587485425573261
TeD2,0,1,0,0,0,1,1,0,M3,0.599300427516518
TeD2,1,0,1,1,0,0,1,1,M3,0.595724834823164
TeD2,1,1,0,1,0,1,1,1,M3,0.593703847648659
TeD2,1,1,0,0,1,1,0,0,M3,0.594325689856199
TeD2,0,0,1,0,1,0,0,0,M3,0.569374271278663
TeD2,0,0,0,1,1,0,0,1,M3,0.593859308200544
TeD2,0,1,1,0,0,0,0,1,M3,0.606296152351341
TeD2,1,1,1,1,1,1,1,0,M3,0.611815001943257
TeD2,0,1,0,0,0,1,1,1,M3,0.601476875242907
TeD2,0,0,0,0,1,0,0,1,M3,0.575204041974349
TeD2,1,0,1,1,0,0,0,0,M3,0.561290322580645
TeD2,1,0,1,1,0,1,1,1,M3,0.598600855033035
TeD2,1,1,0,1,0,0,0,0,M3,0.570307034589973
TeD2,0,1,0,1,0,0,0,0,M3,0.562534006995725
TeD2,1,1,0,0,0,0,0,1,M3,0.578468713563933
TeD2,0,0,1,1,1,0,1,1,M3,0.587951807228916
TeD2,0,0,1,0,0,0,1,0,M3,0.580411970462495
TeD2,1,1,1,1,1,1,1,1,M3,0.614380101049359
TeD2,1,1,1,1,1,1,1,1,M3,0.602876020209872
TeD2,1,1,1,1,1,1,1,1,M3,0.599300427516518
TeD2,1,1,1,1,1,1,1,1,M3,0.60093276331131
TeD2,1,1,1,1,1,1,1,1,M3,0.591760590750097
TeD3,1,1,0,0,0,1,0,0,M3,0.684244372990354
TeD3,1,1,1,0,1,1,1,0,M3,0.75048231511254
TeD3,0,1,1,0,0,0,0,0,M3,0.664951768488746
TeD3,0,0,1,0,0,0,0,1,M3,0.706109324758842
TeD3,0,1,0,1,1,1,1,1,M3,0.758842443729904
TeD3,1,0,1,0,0,1,0,0,M3,0.62572347266881
TeD3,1,0,1,1,1,1,0,1,M3,0.753054662379421
TeD3,1,1,1,0,1,1,0,1,M3,0.741479099678457
TeD3,0,0,0,0,0,1,1,0,M3,0.712540192926045
TeD3,1,0,0,0,0,1,0,0,M3,0.617363344051447
TeD3,0,1,0,0,1,0,1,0,M3,0.727974276527331
TeD3,1,0,1,1,1,1,1,1,M3,0.786495176848875
TeD3,1,1,0,0,0,0,0,0,M3,0.602572347266881
TeD3,0,1,1,0,1,1,0,0,M3,0.717684887459807
TeD3,0,0,0,0,0,1,0,1,M3,0.745980707395498
TeD3,0,1,0,0,0,1,0,1,M3,0.711897106109325
TeD3,0,0,1,1,1,1,1,1,M3,0.747909967845659
TeD3,0,0,0,0,1,1,0,0,M3,0.727331189710611
TeD3,0,1,0,0,0,0,0,1,M3,0.765273311897106
TeD3,0,1,0,0,1,1,1,0,M3,0.731832797427653
TeD3,0,1,0,0,0,1,0,0,M3,0.641800643086817
TeD3,0,1,0,1,0,1,0,1,M3,0.733762057877813
